Código OACI;CIAD;Nome;Município;UF;Tipo;LATGEOPOINT;LONGEOPOINT;Latitude;Longitude;Altitude;Operação Diurna;Operação Noturna;Rampa de Aproximação;Formato da Área de Pouso;Dimensões;Resistência do Pavimento;Superfície;Validade do Registro;Portaria de Registro;Link Portaria;Luzes de Aproximação;Luzes de Área de Toque e Elevação Inicial (TLOF);Indicador Visual de Rampa de Aproximação;Luzes Indicadoras de Área de Aproximação Final de Decolagem (FATO);Luzes de Obstáculo;Luzes de Ponto de Visada de Heliponto;TIPO_USO;id;categoria;parent_id;name;Label
SDGE;SP0334;Casas Bahia;SÃO CAETANO DO SUL;São Paulo;Elevado;-23.611111;-46.570833;"23°36'40.0""S";"046°34'15.0""W";783,0;VFR;VFR;33;Quadrado;25 m;8,00;Metálico;20/04/2031;PA2021-4762;https://pergamum.anac.gov.br/arquivos/PA2021-4762.pdf;;;;;;;Privado;62;3;4;Helipontos;
SDGG;SP0335;Aché Faria Lima;SÃO PAULO;São Paulo;Elevado;-23.560833;-46.694167;"23°33'39.0""S";"046°41'39.0""W";854,0;VFR;VFR;24;Quadrado;21 m;4,50;Concreto;19/11/2030;PA2020-3157;https://pergamum.anac.gov.br/arquivos/PA2020-3157.pdf;;;;;;;Privado;62;3;4;Helipontos;
SDGH;SP0336;Parque do Peão Mussa Calil Neto;BARRETOS;São Paulo;No solo;-20.511111;-48.592778;"20°30'40.0""S";"048°35'34.0""W";551,0;VFR;VFR;14 27;Quadrado;21 m;4,00;Asfalto;23/09/2030;PA2020-2400;https://pergamum.anac.gov.br/arquivos/PA2020-2400.pdf;;;;;;;Privado;62;3;4;Helipontos;
SDGI;SP0337;Fazenda Guariroba S/A;CAMPINAS;São Paulo;No solo;-22.922778;-46.906944;"22°55'22.0""S";"046°54'25.0""W";700,0;VFR;VFR;20;Quadrado;24 m;5,00;Concreto;21/05/2024;PA2014-1186;https://pergamum.anac.gov.br/arquivos/PA2014-1186.pdf;;;;;;;Privado;62;3;4;Helipontos;
SDGO;SP0338;Braspress;GUARULHOS;São Paulo;Elevado;-23.454167;-46.485556;"23°27'15.0""S";"046°29'08.0""W";775,0;VFR;VFR;36;Quadrado;22 m;4,50;Concreto;06/05/2025;PA2015-1055;https://pergamum.anac.gov.br/arquivos/PA2015-1055.pdf;;;;;;;Privado;62;3;4;Helipontos;
SDGS;SP0339;Bertolucci;SÃO PAULO;São Paulo;Elevado;-23.585556;-46.680278;"23°35'08.0""S";"046°40'49.0""W";810,0;VFR;VFR;9 36;Quadrado;18 m;4,00;Concreto;;;;;;;;;;Privado;62;3;4;Helipontos;
SDGW;SP0340;JKFC;SÃO PAULO;São Paulo;Elevado;-23.587222;-46.675278;"23°35'14.0""S";"046°40'31.0""W";806,0;VFR;VFR;5 26;Quadrado;21 m;5,00;Concreto;29/12/2030;PA2020-3462;https://pergamum.anac.gov.br/arquivos/PA2020-3462.pdf;;;;;;;Privado;62;3;4;Helipontos;
SDGZ;SP0341;Bradesco Cidade de Deus;OSASCO;São Paulo;Elevado;-23.548889;-46.772222;"23°32'56.0""S";"046°46'20.0""W";771,0;VFR;VFR;7 27;Quadrado;21 m;4,25;Metálico;28/06/2031;PA2021-5235;https://pergamum.anac.gov.br/arquivos/PA2021-5235.pdf;;;;;;;Privado;62;3;4;Helipontos;
SDHB;SP0342;Bradesco;OSASCO;São Paulo;No solo;-23.548333;-46.768889;"23°32'54.0""S";"046°46'08.0""W";754,0;VFR;VFR;8;Quadrado;21 m;6,00;Concreto;03/12/2030;PA2021-;https://pergamum.anac.gov.br/arquivos/PA2021-.pdf;;;;;;;Privado;62;3;4;Helipontos;
SDHF;SP0343;Ambroso;SÃO JOÃO DA BOA VISTA;São Paulo;No solo;-21.966944;-46.751944;"21°58'01.2""S";"046°45'07.9""W";809,0;VFR;VFR;15;Quadrado;;4,00;Concreto;22/08/2029;PA2019-2578;https://pergamum.anac.gov.br/arquivos/PA2019-2578.pdf;;;;;;;Privado;62;3;4;Helipontos;
