"geometriaa","tipovia","jurisdicao","administra","concession","revestimen","operaciona","situacaofi","canteirodi","nrpistas","nrfaixas","trafego","tipopavime","sigla","acostament","codtrechor","limitevelo","emperimetr","categoria","parent_id","name","label","id"
"Não                                                                             ","Rodovia                                                                         ","Estadual/Distrital                                                              ","Desconhecida                                                                    ","                                                                                                    ","Revestimento primário (solto)                                                   ","Sim                                                                             ","Construída                                                                      ","Não                                                                             ","1","2","Permanente                                                                      ","Desconhecido                                                                    ","PA-440                     ","                                                                                ","                         ","","                                                                                ","3","8","Rodovia Estadual                                  ","PA-440                                            ","27"
"Não                                                                             ","Rodovia                                                                         ","Estadual/Distrital                                                              ","Estadual/Distrital                                                              ","                                                                                                    ","Pavimentado                                                                     ","Sim                                                                             ","Construída                                                                      ","Sim                                                                             ","1","2","Permanente                                                                      ","Desconhecido                                                                    ","RS-438                     ","                                                                                ","                         ","","                                                                                ","3","8","Rodovia Estadual                                  ","RS-438                                            ","27"
"Não                                                                             ","Rodovia                                                                         ","Estadual/Distrital                                                              ","Estadual/Distrital                                                              ","                                                                                                    ","Revestimento primário (solto)                                                   ","Sim                                                                             ","Construída                                                                      ","Não                                                                             ","1","2","Permanente                                                                      ","Desconhecido                                                                    ","                           ","                                                                                ","                         ","","                                                                                ","3","8","Rodovia Estadual                                  ","                                                  ","27"
"Não                                                                             ","Rodovia                                                                         ","Estadual/Distrital                                                              ","Estadual/Distrital                                                              ","                                                                                                    ","Pavimentado                                                                     ","Sim                                                                             ","Construída                                                                      ","Não                                                                             ","1","2","Permanente                                                                      ","Desconhecido                                                                    ","BR-356/MGC-356             ","                                                                                ","                         ","","                                                                                ","3","8","Rodovia Estadual                                  ","BR-356/MGC-356                                    ","27"
"Não                                                                             ","Rodovia                                                                         ","Estadual/Distrital                                                              ","Estadual/Distrital                                                              ","                                                                                                    ","Revestimento primário (solto)                                                   ","Sim                                                                             ","Construída                                                                      ","Não                                                                             ","1","2","Permanente                                                                      ","Desconhecido                                                                    ","                           ","                                                                                ","                         ","","                                                                                ","3","8","Rodovia Estadual                                  ","                                                  ","27"
"Não                                                                             ","Rodovia                                                                         ","Estadual/Distrital                                                              ","Estadual/Distrital                                                              ","                                                                                                    ","Sem revestimento (leito natural)                                                ","Sim                                                                             ","Construída                                                                      ","Não                                                                             ","1","2","Permanente                                                                      ","Desconhecido                                                                    ","BA-614                     ","                                                                                ","                         ","","                                                                                ","3","8","Rodovia Estadual                                  ","BA-614                                            ","27"
"Não                                                                             ","Rodovia                                                                         ","Estadual/Distrital                                                              ","Estadual/Distrital                                                              ","                                                                                                    ","Pavimentado                                                                     ","Sim                                                                             ","Construída                                                                      ","Sim                                                                             ","1","2","Permanente                                                                      ","Desconhecido                                                                    ","BR-480/SC-480              ","                                                                                ","                         ","","                                                                                ","3","8","Rodovia Estadual                                  ","BR-480/SC-480                                     ","27"
"Não                                                                             ","Rodovia                                                                         ","Estadual/Distrital                                                              ","Estadual/Distrital                                                              ","                                                                                                    ","Pavimentado                                                                     ","Sim                                                                             ","Construída                                                                      ","Sim                                                                             ","1","2","Permanente                                                                      ","Desconhecido                                                                    ","TO-415                     ","                                                                                ","                         ","","                                                                                ","3","8","Rodovia Estadual                                  ","TO-415                                            ","27"
"Não                                                                             ","Rodovia                                                                         ","Estadual/Distrital                                                              ","Estadual/Distrital                                                              ","                                                                                                    ","Pavimentado                                                                     ","Sim                                                                             ","Construída                                                                      ","Não                                                                             ","1","2","Permanente                                                                      ","Desconhecido                                                                    ","429EMG0200                 ","                                                                                ","                         ","","                                                                                ","3","8","Rodovia Estadual                                  ","429EMG0200                                        ","27"
"Não                                                                             ","Rodovia                                                                         ","Estadual/Distrital                                                              ","Estadual/Distrital                                                              ","                                                                                                    ","Revestimento primário (solto)                                                   ","Sim                                                                             ","Construída                                                                      ","Não                                                                             ","1","2","Permanente                                                                      ","Desconhecido                                                                    ","MA-034                     ","                                                                                ","                         ","","                                                                                ","3","8","Rodovia Estadual                                  ","MA-034                                            ","27"
"Não                                                                             ","Rodovia                                                                         ","Estadual/Distrital                                                              ","Estadual/Distrital                                                              ","                                                                                                    ","Pavimentado                                                                     ","Sim                                                                             ","Construída                                                                      ","Não                                                                             ","1","2","Permanente                                                                      ","Desconhecido                                                                    ","MA-306                     ","                                                                                ","                         ","","                                                                                ","3","8","Rodovia Estadual                                  ","MA-306                                            ","27"
"Não                                                                             ","Rodovia                                                                         ","Estadual/Distrital                                                              ","Estadual/Distrital                                                              ","                                                                                                    ","Pavimentado                                                                     ","Sim                                                                             ","Construída                                                                      ","Sim                                                                             ","1","2","Permanente                                                                      ","Desconhecido                                                                    ","TO-226                     ","                                                                                ","                         ","","                                                                                ","3","8","Rodovia Estadual                                  ","TO-226                                            ","27"
"Não                                                                             ","Rodovia                                                                         ","Estadual/Distrital                                                              ","Estadual/Distrital                                                              ","                                                                                                    ","Pavimentado                                                                     ","Sim                                                                             ","Construída                                                                      ","Não                                                                             ","1","2","Permanente                                                                      ","Desconhecido                                                                    ","SP-320                     ","                                                                                ","                         ","","                                                                                ","3","8","Rodovia Estadual                                  ","SP-320                                            ","27"
"Não                                                                             ","Rodovia                                                                         ","Estadual/Distrital                                                              ","Estadual/Distrital                                                              ","                                                                                                    ","Pavimentado                                                                     ","Sim                                                                             ","Construída                                                                      ","Não                                                                             ","1","2","Permanente                                                                      ","Desconhecido                                                                    ","BA-432                     ","                                                                                ","                         ","","                                                                                ","3","8","Rodovia Estadual                                  ","BA-432                                            ","27"
